LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,TRUSTGOV,TOT,PC,A,2006,53.20633284,
AUS,TRUSTGOV,TOT,PC,A,2007,52.69328107,
AUS,TRUSTGOV,TOT,PC,A,2008,64.46754241,
AUS,TRUSTGOV,TOT,PC,A,2010,60.97529188,
AUS,TRUSTGOV,TOT,PC,A,2011,53.07867193,
AUS,TRUSTGOV,TOT,PC,A,2012,42.04191789,
AUS,TRUSTGOV,TOT,PC,A,2013,45.58714682,
AUS,TRUSTGOV,TOT,PC,A,2014,46.46762335,
AUS,TRUSTGOV,TOT,PC,A,2015,47.85568371,
AUS,TRUSTGOV,TOT,PC,A,2016,45.27317501,
AUS,TRUSTGOV,TOT,PC,A,2017,45.34069629,
AUS,TRUSTGOV,TOT,PC,A,2018,46.88368745,
AUS,TRUSTGOV,TOT,PC,A,2019,46.87000149,
AUS,TRUSTGOV,TOT,PC,A,2020,44.64222495,
AUS,TRUSTGOV,TOT,PC,A,2021,51.92263873,
AUS,TRUSTGOV,TOT,PC,A,2022,49.91188168,
AUT,TRUSTGOV,TOT,PC,A,2006,49.7037786,
AUT,TRUSTGOV,TOT,PC,A,2008,25.72421933,
AUT,TRUSTGOV,TOT,PC,A,2009,48.105214,
AUT,TRUSTGOV,TOT,PC,A,2010,49.18410776,
AUT,TRUSTGOV,TOT,PC,A,2011,40.69201162,
AUT,TRUSTGOV,TOT,PC,A,2012,37.65738622,
AUT,TRUSTGOV,TOT,PC,A,2013,41.70992387,
AUT,TRUSTGOV,TOT,PC,A,2014,40.76954037,
AUT,TRUSTGOV,TOT,PC,A,2015,45.47898635,
AUT,TRUSTGOV,TOT,PC,A,2016,43.26382185,
AUT,TRUSTGOV,TOT,PC,A,2017,43.59079409,
AUT,TRUSTGOV,TOT,PC,A,2018,48.86787248,
AUT,TRUSTGOV,TOT,PC,A,2019,51.23382601,
AUT,TRUSTGOV,TOT,PC,A,2020,62.61778268,
AUT,TRUSTGOV,TOT,PC,A,2021,61.04589633,
BEL,TRUSTGOV,TOT,PC,A,2006,55.17049955,
BEL,TRUSTGOV,TOT,PC,A,2007,60.22382747,
BEL,TRUSTGOV,TOT,PC,A,2008,46.31370746,
BEL,TRUSTGOV,TOT,PC,A,2010,33.65164788,
BEL,TRUSTGOV,TOT,PC,A,2011,28.91294675,
BEL,TRUSTGOV,TOT,PC,A,2012,44.01171825,
BEL,TRUSTGOV,TOT,PC,A,2013,55.41245049,
BEL,TRUSTGOV,TOT,PC,A,2014,46.91116095,
BEL,TRUSTGOV,TOT,PC,A,2015,45.9024212,
BEL,TRUSTGOV,TOT,PC,A,2016,41.91775057,
BEL,TRUSTGOV,TOT,PC,A,2017,44.97319109,
BEL,TRUSTGOV,TOT,PC,A,2018,44.19445308,
BEL,TRUSTGOV,TOT,PC,A,2019,32.79011543,
BEL,TRUSTGOV,TOT,PC,A,2020,29.47996007,
BEL,TRUSTGOV,TOT,PC,A,2021,47.31331053,
BEL,TRUSTGOV,TOT,PC,A,2022,57.24084193,
CAN,TRUSTGOV,TOT,PC,A,2006,44.28175519,
CAN,TRUSTGOV,TOT,PC,A,2007,63.78238098,
CAN,TRUSTGOV,TOT,PC,A,2008,59.03709613,
CAN,TRUSTGOV,TOT,PC,A,2009,60.82640148,
CAN,TRUSTGOV,TOT,PC,A,2010,55.1076449,
CAN,TRUSTGOV,TOT,PC,A,2011,55.32905175,
CAN,TRUSTGOV,TOT,PC,A,2012,52.34481477,
CAN,TRUSTGOV,TOT,PC,A,2013,50.59759947,
CAN,TRUSTGOV,TOT,PC,A,2014,51.69536076,
CAN,TRUSTGOV,TOT,PC,A,2015,64.41041443,
CAN,TRUSTGOV,TOT,PC,A,2016,61.81952864,
CAN,TRUSTGOV,TOT,PC,A,2017,65.27359715,
CAN,TRUSTGOV,TOT,PC,A,2018,61.04669154,
CAN,TRUSTGOV,TOT,PC,A,2019,54.92809663,
