begins_at,vader_prediction,sentiment
2023-03-15,0.296,positive
2023-03-16,-0.4939,negative
2023-03-17,-0.34,negative
2023-03-21,0.7707,positive
2023-03-22,0.2732,positive
2023-03-23,0.24695,positive
2023-03-26,0.6929000000000001,positive
2023-03-27,0.34,positive
2023-03-29,0.5001,positive
2023-04-01,-0.015800000000000005,neutral
2023-04-02,0.023966666666666674,neutral
2023-04-03,0.050866666666666685,positive
2023-04-04,0.064152,positive
2023-04-05,0.17673999999999998,positive
2023-04-06,0.20695999999999998,positive
2023-04-07,0.30721666666666664,positive
2023-04-08,0.6908,positive
2023-04-09,0.3818,positive
2023-04-10,0.32985,positive
2023-04-11,-0.0258,neutral
2023-04-12,0.25925,positive
2023-04-13,0.4061,positive
