date,bitcoin_price,bitcoin_market_cap,bitcoin_total_volume,dogecoin_price,dogecoin_market_cap,dogecoin_total_volume
1/1/2020,7195.153895,130394101536,21187883711,0.00203106,249356786.8,53013466
1/2/2020,7193.754668,130422953818,18123516839,0.002025653,248529647.1,38576915
1/3/2020,6963.853354,126280790200,20313194628,0.002008393,247094892.4,46080313
1/4/2020,7300.346935,132766262579,31015776262,0.002048875,251527987.8,40863740
1/5/2020,7351.377053,133474716218,20611640058,0.002189336,268594298.7,46196903
1/6/2020,7349.972248,133388991087,21929224571,0.002070406,254259070.1,32539591
1/7/2020,7734.675516,140557168287,28148518762,0.002130012,261857064.7,38106371
1/8/2020,8147.415238,147798610896,34823187724,0.002234781,275004935.8,43529571
1/9/2020,8045.789125,146089575425,39971512000,0.002169824,267243278.2,43151513
1/10/2020,7832.795644,141913856953,29276053441,0.002289899,280642957.9,48004965
1/11/2020,8180.51317,146879934259,35777298156,0.002260418,277319085.4,53435759
1/12/2020,8012.085782,145561586659,31504583511,0.002218407,274549041.5,60455962
1/13/2020,8171.401185,148204228775,27533390876,0.002265322,278184999.8,52330282
1/14/2020,8110.647965,147446058196,27962176781,0.00215029,268905102.9,48689132
1/15/2020,8801.871213,159481192214,55384169406,0.002333217,285915720.2,86813590
1/16/2020,8820.850106,159960761752,48160401007,0.002398899,293219030.2,107025136
1/17/2020,8720.919501,158412991118,36462155571,0.002335595,287096649.1,79745347
1/18/2020,8902.568995,161848747742,41671910798,0.002426658,298313408.1,98670907
1/19/2020,8906.902675,161823609428,36801813632,0.002497897,307116384.3,91648034
1/20/2020,8690.38057,157906057309,39242297096,0.002408134,295309242.3,87205355
1/21/2020,8631.253954,156848009984,29527689343,0.00239105,294045586.6,73125411
1/22/2020,8724.818623,158564958351,27057681780,0.002373081,292003033,67442647
1/23/2020,8665.436914,157502652064,25628542095,0.002367334,291194286.1,68481208
1/24/2020,8415.956027,152984928859,30696020541,0.002240141,277076163.5,70446235
1/25/2020,8432.096676,153294353937,30691734305,0.002272587,279603078.3,67906670
1/26/2020,8348.665665,151794495723,26582198966,0.002245109,276253328.6,63624028
1/27/2020,8595.728298,156302144661,30241155463,0.002306448,282730605.1,57079681
1/28/2020,8879.335549,161473602737,39661537340,0.002365805,291169771.5,71267011
1/29/2020,9320.805854,169518428145,49812761504,0.002445227,300978822.3,73912107
1/30/2020,9276.893821,168738228802,47273353144,0.002389953,293720726.4,60908834
1/31/2020,9509.805136,172993102966,51037775415,0.002431817,299395266.3,68004035
2/1/2020,9308.060286,169340144566,50102814006,0.002386777,293883414.1,58805205
2/2/2020,9363.224207,170361167834,48307978234,0.002405246,296190766.4,61580812
2/3/2020,9338.416632,169926610304,55025402184,0.002468796,304050716.3,74934191
2/4/2020,9308.912702,169406963183,56824765308,0.002439925,300528804.9,64002051
2/5/2020,9179.959281,167075369075,55377658456,0.002476985,305127579.1,61160180
2/6/2020,9592.183874,174596806174,65675565621,0.002580121,317868370.3,74945449
2/7/2020,9744.636578,177388314198,71141695218,0.002661378,327915495,68693592
2/8/2020,9799.448456,178414902529,69495711756,0.002773357,341082966.9,74768228
2/9/2020,9890.701658,180081607384,71561797135,0.003152623,388530856.5,114237107
2/10/2020,10148.37972,184792100015,78110955305,0.003220522,396943068.5,122582884
2/11/2020,9890.121224,180145850760,81406687324,0.003015785,371749850.1,104681583
2/12/2020,10226.92577,186262984852,38930644712,0.003052701,376342792.7,152367638
2/13/2020,10328.89757,188132988213,45456624048,0.00305098,376172783.7,153307474
2/14/2020,10221.26031,186190344916,54151236618,0.0030328,373973425,146323761
2/15/2020,10320.15714,187680301471,50206573483,0.003102022,382529765.1,121465386
2/16/2020,9894.136124,180265718401,51460340289,0.00296046,365134652.2,118598158
2/17/2020,9943.673603,181221481669,42364906261,0.00283948,345487246.9,129451161
2/18/2020,9723.605026,176547652266,48517591137,0.002721719,330646020.9,121852389
2/19/2020,10133.81742,184918071499,54648014950,0.002844918,347694085.4,120924221
2/20/2020,9618.409248,175312937107,50502739124,0.002659017,329247157.1,120435361
2/21/2020,9608.169181,174871048291,53579139401,0.002640101,325132840.3,163959447
2/22/2020,9673.0118,176701844102,37678167401,0.002660476,328355983.4,139383776
2/23/2020,9658.606058,176097270350,32555342237,0.002616949,323020192.2,143129455
2/24/2020,9946.716123,181368043820,38743680759,0.002683834,331312903.2,167584709
2/25/2020,9670.960806,175872097740,41928789500,0.002598221,320780422.6,141406806
2/26/2020,9345.342702,170478976468,39441760776,0.002487692,307640834.5,159530094
2/27/2020,8801.657129,160731785488,45140119230,0.00232768,287388014,174293462
2/28/2020,8781.175282,160149975301,43045469001,0.00232974,288730742.6,138916300
2/29/2020,8717.331431,159030381910,41297721067,0.002308097,285088979.4,130103960
3/1/2020,8552.989119,156047250857,33291626663,0.00224376,277173142.3,122706371
3/2/2020,8567.802249,155934421965,34310775733,0.002242818,276525338.1,132312472
3/3/2020,8905.876104,162521881369,59776629743,0.002368422,292637623.9,141216615
3/4/2020,8756.718577,159816567727,68336042797,0.00241166,298013222.7,145310587
3/5/2020,8758.646993,159869936941,38832067217,0.00246386,304497587.3,130345674
3/6/2020,9038.870323,165070261613,38122635173,0.00247817,306300424.5,85693525
3/7/2020,9135.845066,166791067805,41388087588,0.002487201,307450941.5,81573108
3/8/2020,8902.20195,162543409238,36764763103,0.002426194,299943225.4,68887905
3/9/2020,8041.365538,147076617272,39132209138,0.002173767,269347499.6,79686705
3/10/2020,7921.332007,144664117909,45678665163,0.002196077,271554683.6,105653414
3/11/2020,7906.731529,144410718988,40882213634,0.002203736,272532064.6,88469387
3/12/2020,7935.52204,144948460093,38689036553,0.002191376,271034084.1,81850205
3/13/2020,5142.990459,93092131087,50009548492,0.001483468,183588292.1,110773264
3/14/2020,5542.819542,101262945297,74329688818,0.001719278,212660911.6,162397714
3/15/2020,5214.189112,95216478865,36054625747,0.001655465,205572589.6,83287640
3/16/2020,5397.933357,98632587514,32985693210,0.001696303,210527259,92079970
3/17/2020,5032.501351,91962797384,44034438468,0.001593021,197138248.8,100216040
3/18/2020,5389.415775,98079756007,36007089254,0.001633127,203980841.1,74523963
3/19/2020,5376.280748,98259998309,37618067230,0.001614417,199830238.3,74515511
3/20/2020,6170.2006,112778383593,48056214948,0.001771485,219296170.9,223278153
3/21/2020,6195.603505,113030383273,50936770688,0.001775731,222079539.3,158961780
3/22/2020,6145.770891,112349835902,40189198131,0.00178139,220571686,133056133
3/23/2020,5859.64743,107128564671,37255748385,0.001732532,213918482.2,135249014
3/24/2020,6456.347486,118046727573,45578824448,0.001816974,224695677,140961242
3/25/2020,6730.173782,123064256189,45846522059,0.001871697,231830875.3,153573606
3/26/2020,6695.900618,122445336599,42082295491,0.00183483,227289691.5,137546599
3/27/2020,6765.562079,123732739823,34840544710,0.001858288,230221150.2,129916987
3/28/2020,6397.826328,117019679178,32910551599,0.001784003,221042549.9,118486362
3/29/2020,6255.000399,114171796491,35231848359,0.001786612,221390520.7,139854382
3/30/2020,5915.337155,108551603304,25923471292,0.001720109,213173580.7,127824727
3/31/2020,6403.141236,117151628727,34907149978,0.001806671,224115611.1,130308976
4/1/2020,6421.705414,117750205634,32287674952,0.001808498,224694247.5,125018850
4/2/2020,6640.797666,120921617010,35886963978,0.001861275,231608793.2,133295930
4/3/2020,6807.897018,124719708454,47638672294,0.001890354,233977644.1,135883818
4/4/2020,6732.852018,123234164428,39867535857,0.001848268,229183776.2,130077705
4/5/2020,6859.424924,125564427826,35009177102,0.001872732,232243150.6,129554098
4/6/2020,6788.048273,124272363452,31885662165,0.001859239,230305063.6,123742387
4/7/2020,7297.635558,133484854333,45370138561,0.001995278,247255676.2,145502189
4/8/2020,7196.782202,131782164466,43386074291,0.002000403,248158953.8,141907834
4/9/2020,7342.291601,134518720640,38922547593,0.002013397,250042291.9,127878282
4/10/2020,7294.488875,133598651282,34921486435,0.002023642,251097766.9,123549292
4/11/2020,6864.694257,125740858699,37828011011,0.001955323,242951200.6,134671135
4/12/2020,6878.781213,125980543742,30280054180,0.001994547,247542049.6,128506938
4/13/2020,6913.158787,126655463658,34544392366,0.001975581,245455791.6,128335739
4/14/2020,6857.538538,125651103790,38062368291,0.001959548,243252945.8,129649088
4/15/2020,6860.178536,125713883016,33837365577,0.001966765,244175467.5,124216048
4/16/2020,6629.431738,121499498110,29692916171,0.001945633,241578570.5,131684089
4/17/2020,7059.926225,129402884478,45752002264,0.002022847,251193747.3,146472117
4/18/2020,7035.261504,128961704237,31701906840,0.001999602,248334766,121729853
4/19/2020,7242.510929,132775323305,30035235468,0.002060906,255976766.6,127629256
4/20/2020,7127.51195,130680700686,29714765522,0.002037452,253091749.6,127839053
4/21/2020,6856.456278,125724610428,35276609104,0.0019746,245311641.1,129791433
4/22/2020,6842.038598,125473149029,30093303601,0.001960256,243556559.8,124397420
4/23/2020,7109.995291,130398643209,30819547915,0.0020074,249659994.3,126033359
4/24/2020,7382.793144,135414822710,41032858925,0.002051379,254935165.8,140105892
4/25/2020,7495.393587,137493716065,33233126913,0.002069124,257168786.5,161596051
4/26/2020,7538.557687,138298135123,31610167152,0.002118373,263319084.6,179689638
4/27/2020,7683.867415,140977260141,33760863612,0.002322766,288757849.5,233725625
4/28/2020,7774.281554,142649802463,35205525352,0.002388485,296960896.5,224244999
4/29/2020,7758.230255,142370212777,32855687797,0.002324443,289030583.2,200283720
4/30/2020,8744.430287,160483573440,60399592066,0.00255796,318102189.9,242370966
5/1/2020,8610.635804,158042623264,65838312160,0.002442312,303753871.6,235092728
5/2/2020,8824.818414,161989355179,44773967198,0.002489004,309595787.5,219094154
5/3/2020,8966.307015,164603123456,39177855720,0.002532069,315929917.6,206828067
