,date,summary
0,2023-03-17,"Engadget Podcast: Why did Silicon Valley Bank fail so hard?The downfall of Silicon Valley bank affects the entire technology industry. This week, we chat with Alex Wilhelm, editor in chief at TechCrunch+, about why SVB failed and what it means for the broader ecosystem. Where were the regulations? And why were VCs so…"
1,2023-03-13,"US regulators will protect all deposits at Silicon Valley BankUS regulators have announced that they're taking action to ""fully"" protect all deposits at Silicon Valley Bank (SVB), CNBC has reported. The institution is home to a large number of startups and established companies like Roku and Etsy, which will have full a…"
2,2023-03-11,"USDC stablecoin breaks dollar peg following Silicon Valley Bank collapseThe abrupt collapse of Silicon Valley Bank has affected the value of the world’s fifth-largest cryptocurrency, increasing fears of a possible ripple effect among Web3 companies. On Saturday morning, USD Coin fell to a record low of $0.87 after Circle, the com…"
3,2023-03-13,SVB’s Collapse Is Causing Chaos in India’s Tech SectorThe bank was popular among Indian founders who needed US accounts. But many have struggled to get their money out.
4,2023-03-15,"Why Did Silicon Valley Bank and Signature Bank Fail So Fast?Silicon Valley Bank and Signature Bank failed with enormous speed – so quickly that they could be textbook cases of classic bank runs, in which too many depositors withdraw their funds from a bank at the same time. The failures at SVB and Signature were two o…"
5,2023-03-16,"Crypto Faces a Banking Crisis. For Some, It’s a ConspiracyThe collapse of crypto-friendly Silvergate and Signature Bank has left the industry scrambling to find anyone willing to work with them."
6,2023-03-11,"Roku says it could lose 25 percent of its cash after Silicon Valley Bank failsThe sudden collapse of Silicon Valley Bank has put more than a quarter of Roku’s cash at risk. The streaming company had nearly $500 million, representing 26 percent of its cash, in Silicon Valley Bank, the company disclosed in an SEC filing
 Friday.The futu…"
7,2023-03-26,First came bank failures. Now comes the House hearingFederal regulators are being called to testify before the House Financial Services Committee on Tuesday about the collapse of Silicon Valley Bank and Signature Bank.
8,2023-03-12,"Silicon Valley Bank: Money in failed US bank is safe - US governmentDepositors with Silicon Valley Bank can access all their money from Monday, US officials say."
9,2023-03-13,"Silicon Valley Bank’s Failure Deals a Blow to Europe’s StartupsThe US lender filled a niche for European tech companies that no one else could, or would."
10,2023-03-13,"Europe's banking stocks suffer biggest drop in a yearInvestors dumped European bank stocks for a third straight day Monday, despite dramatic moves over the weekend by the US and UK governments to shore up confidence in the financial system following Friday's collapse of Silicon Valley Bank."
11,2023-03-15,Stocks fall sharply as bank fears consume global marketsUS stocks tumbled as investors fear the banking sector may have yet more problems to overcome. Credit Suisse's shares fell sharply after the Saudi National Bank said it would not invest any more in the troubled Swiss bank.
12,2023-03-21,"JPMorgan is advising First Republic on another potential lifeline, sources sayJPMorgan Chase's investment bank has been hired to advise First Republic as the embattled regional bank tries to ease concerns about its financial condition, people familiar with the matter told CNN."
13,2023-03-12,"UK to help tech firms after Silicon Valley Bank collapseTech firms caught up in bank collapse will have cashflow needs met, the government says."
14,2023-03-14,The Silicon Valley Bank saga in 80 secondsHas the collapse of two US banks sparked another financial crisis?
15,2023-03-16,"Asia markets fall as global banking fears widenIndexes in Japan, Hong Kong and Australia fall by more than 1% amid heavier losses in bank shares."
16,2023-03-14,"What comes next in the banking crisis? The early 1990s hold cluesInvestors are searching for clarity in the wake of Friday's collapse of Silicon Valley Bank — the biggest failure of a US bank since 2008. And as they attempt to predict what comes next — be it wider financial chaos, more government regulation, a pause in Fed…"
17,2023-03-30,"Ambani, Adani: Should India break up its big conglomerates?A former deputy governor of India's central bank says five big firms are hindering competition in the market."
18,2023-04-07,One tourist killed and seven wounded in car ramming attack in Tel AvivIt comes after two British-Israeli sisters were killed in a shooting in the occupied West Bank.
19,2023-03-30,"Manchester United: Premier League club owes almost £1bn, reveal new figuresManchester United owe £969.6m through a combination of gross debt, bank borrowings and outstanding transfer fees with associated payments, according to new figures."
20,2023-03-13,"U.S. Government Saves Silicon Valley Bank After Tech Industry Killed ItThe U.S. government swooped in on Sunday to save the tech industry from a problem of its own making, announcing that it would ensure all depositors in Silicon Valley Bank had full access to their money by Monday. Read more..."
21,2023-03-12,"What's the next Silicon Valley Bank — and how can the US prevent more chaos?Silicon Valley Bank failed in rapid, stunning fashion Friday. This week, the tech and banking sector are growing skittish about the next shoe to drop."
22,2023-03-29,Irene Gakwa's boyfriend pleads guilty to stealing money from her after she vanished a year ago in WyomingNathan Hightman pleaded guilty Tuesday to stealing money from girlfriend Irene Gakwa's bank account and maxing out her credit card after she vanished a year ago in Wyoming.
23,2023-03-13,"HSBC is buying SVB's UK business for just over $1HSBC has scooped up the UK arm of Silicon Valley Bank for £1 ($1.2), just days after its business in the United States collapsed in stunning fashion."
24,2023-03-17,"Bank of America said to buy Signature Bank, tweets Bill Ackman - ReutersBank of America said to buy Signature Bank, tweets Bill Ackman  Reuters"
25,2023-03-19,Australia's central bank says bank stress just one consideration for ... - Reuters.comAustralia's central bank says bank stress just one consideration for ...  Reuters.com
26,2023-03-23,Bank of Korea says non-bank firms face stress from weak property ... - ReutersBank of Korea says non-bank firms face stress from weak property ...  Reuters
27,2023-04-07,Italian bank loans to firms fall as demand weakens: central bank - ReutersItalian bank loans to firms fall as demand weakens: central bank  Reuters
28,2023-03-21,Stocks rebound as US and UK seek to calm investorsMarkets higher after UK and US again seek to calm investor fears over banks' stability.
29,2023-03-28,North Korea Is Now Mining Crypto to Launder Its Stolen LootA spy group working for the Kim regime has been feeding stolen coins into crypto mining services in an effort to throw tracers off their trail.
30,2023-03-14,Comer says Treasury will allow Oversight Committee to review certain bank activity reports related to Biden family and business partnersHouse Oversight Chairman James Comer said in a statement Tuesday the US Treasury Department will allow him to review certain bank activity reports related to members of the Biden family and their business partners.
31,2023-03-21,"Credit Suisse's gold bars, hats and bags are cropping up in online storesHats, bags and gold bars emblazoned with Credit Suisse's logo are being sold on resale sites, having popped up mere hours after the 167-year-old bank was saved from collapse by rival UBS."
32,2023-03-14,"Analysis: America's biggest problem is its politics, not its banksThe dramatic meltdown of Silicon Valley Bank is proving one thing for sure -- the biggest systemic risk to the United States lies not in its banking system but in its polarized politics."
33,2023-03-13,"The Fed needs to stop raising rates now, former FDIC chair says after Silicon Valley Bank failureSheila Bair, a top banking regulator during the 2008 financial crisis, says the stunning implosion of Silicon Valley Bank is exactly why the Federal Reserve needs to halt its war on inflation."
34,2023-03-13,Analysis: Biden team scrambles to contain financial and political contagionThe Biden administration's scramble to prevent financial contagion from the crash of Silicon Valley Bank is both an attempt to shield a resilient but still-vulnerable economy and to prevent grave political fallout.
35,2023-03-15,Credit Suisse shares crash as Saudi investor rules out more fundsShares of Credit Suisse crashed more than 20% Wednesday to a new record low after its biggest backer appeared to rule out providing any more funding for the embattled Swiss lender.
36,2023-03-13,"The Morning After: Netflix wins six OscarsNetflix took home six Oscars last night, besting all the other streaming services, but a single film, Everything, Everywhere All at Once, dominated the biggest awards. It claimed three of four of the acting awards, along with Best Director and Best Picture.Ne…"
