,date,summary
0,2023-04-06,"You Can Remove That Stupid Doge Icon From Your Twitter FeedEvery day is a new thing with Twitter. Recently, the site lumped verified users and Twitter Blue users together so no one can tell them apart (at least not without an extension). And now Twitter replaced its iconic bird logo with, of all things, Doge. It’s st…"
1,2023-04-04,"Judge Lets AT&T Off the Hook for Crypto Investor SIM Swap AttackOne early crypto investor’s hopes to see a major telecom provider pay up for a 2017 crypto heist have been all but dashed. According to unsealed court documents filed last Thursday, the U.S. District Court for the Central District of California shared that AT…"
2,2023-04-06,"Dogecoin's sharp rally fades after brief burst of enthusiasm around Twitter's new Shiba Inu logoWhen Insider reached out for comment on Twitter's new Shiba Inu logo, its press email auto-responded with a single poop emoji."
3,2023-03-27,"Michael Saylor's MicroStrategy snaps up another 6,455 bitcoin as token rallies, bringing its total holdings to $3.88 billionSaylor's software company also paid off the remaining principal on a $205 million loan from failed crypto-friendly bank Silvergate."
4,2023-03-16,"Crypto Faces a Banking Crisis. For Some, It’s a ConspiracyThe collapse of crypto-friendly Silvergate and Signature Bank has left the industry scrambling to find anyone willing to work with them."
5,2023-04-05,"Michael Saylor's MicroStrategy adds to its bitcoin trove, purchasing 1,045 coins for $24 millionThe business software maker now holds 140,000 bitcoin and the value of that stash was nearly $4 billion with bitcoin trading above $28,000."
6,2023-03-28,North Korea Is Now Mining Crypto to Launder Its Stolen LootA spy group working for the Kim regime has been feeding stolen coins into crypto mining services in an effort to throw tracers off their trail.
7,2023-04-06,"Here’s How to Find the Original Bitcoin Manifesto in Your MacAn Apple developer left one of the strangest Easter eggs hidden in the macOS, offering a surprising and baffling connection between the Cupertino tech company’s mainline operating system to everybody’s (least) favorite cryptographic digital currency. Read mor…"
8,2023-04-03,"Dogecoin Jumps After Token's Symbol Replaces Blue Bird as Twitter LogoDogecoin (DOGE) rose 12% after the Shiba Inu symbol representing the token replaced the familiar blue bird atop the Twitter homepage. From a report: Elon Musk in the past has suggested the meme coin may offer better payments functionality than bitcoin.





…"
9,2023-03-28,"The UK government won't make an NFT after allLast year, UK Prime Minister Rishi Sunak (then Chancellor of the Exchequer) announced that the Royal Mint would issue an official NFT (non-fungible token) as a ""forward-looking approach"" toward crypto. Now, with the shine well off the technology, the Treasury…"
