,date,summary
0,2023-04-13,"Twitter Partners with eToro to Let Users Buy and Sell Stocks, CryptoElon Musk’s Twitter, which the billionaire said this week is now being run by his dog, has closed a partnership deal with the online investing platform eToro, proving that the company might not be as radioactive as some people might think. Read more..."
1,2023-04-06,"Here’s How to Find the Original Bitcoin Manifesto in Your MacAn Apple developer left one of the strangest Easter eggs hidden in the macOS, offering a surprising and baffling connection between the Cupertino tech company’s mainline operating system to everybody’s (least) favorite cryptographic digital currency. Read mor…"
2,2023-04-04,Cryptoverse: Bitcoin traders like their options - ReutersCryptoverse: Bitcoin traders like their options  Reuters
3,2023-03-20,"In which Balaji gives away at least a million dollarsAlso, the dollar is not going to collapse."
4,2023-04-05,"Michael Saylor's MicroStrategy adds to its bitcoin trove, purchasing 1,045 coins for $24 millionThe business software maker now holds 140,000 bitcoin and the value of that stash was nearly $4 billion with bitcoin trading above $28,000."
5,2023-03-20,Bitcoin near 9-month high as bank turmoil sparks rally - Reuters.comBitcoin near 9-month high as bank turmoil sparks rally  Reuters.com
6,2023-04-11,Bitcoin pushes past $30000 as investors eye end of rate rises - ReutersBitcoin pushes past $30000 as investors eye end of rate rises  Reuters
7,2023-04-11,Dollar pauses after strong gains on hawkish Fed bets; bitcoin hits ... - ReutersDollar pauses after strong gains on hawkish Fed bets; bitcoin hits ...  Reuters
8,2023-04-11,"Bitcoin price rises above $30,000 for first time since June 2022Cyptocurrency’s steady increase in value reignites fears of widespread market manipulationA sharp rise in bitcoin prices has pushed the cryptocurrency above $30,000 (£24,118) for the first time since 10 June last year, just before the Celsius crypto lending c…"
9,2023-04-07,"Apple hiding a bitcoin manifesto in Macs is fueling theories that Steve Jobs was Satoshi Nakamoto, the crypto's mysterious inventorThe discovery that Apple includes a PDF of Satoshi's original bitcoin white paper in every new Mac has sparked fresh conspiracies tied to Jobs."
10,2023-04-11,"Bitcoin's nearing a breakout moment — prices topped $30,000 for the first time since June 2022Bitcoin is up about 80% this year so far while Ether is up about 60% in the same period."
11,2023-03-29,"Bitcoin storms toward its strongest quarter in 2 years with a 72% jump, outperforming the Nasdaq and goldThe world's largest cryptocurrency is enjoying massive gains even though just a few months ago, some experts warned of a further crash."
12,2023-04-07,Who is Satoshi Nakamoto? Crypto fans just celebrated the bitcoin inventor's birthday and his legend is as mysterious as ever.Theories swirled this week that Apple visionary Steve Jobs was the legendary Satoshi Nakamoto after the bitcoin white paper was found on macOS.
13,2023-03-22,Jeremy Siegel says bitcoin's rush higher will fizzle out once people trust banks again
14,2023-03-20,"Bitcoin soars to a 9-month high after Credit Suisse takeover fails to calm banking fearsFundstrat said bitcoin's outperformance is a testament to its ""outright resiliency"" when you consider the failures of Signature Bank and Silvergate."
15,2023-04-11,"The crypto market rally is built on hopes of Fed rate hike slowdown and looming US credit crunch, Galaxy Digital's Mike Novogratz saysCrypto markets have been mostly trending upward since the start of the year. Bitcoin notched a 10-month high Tuesday, shooting past $30,000."
16,2023-03-27,"Michael Saylor's MicroStrategy snaps up another 6,455 bitcoin as token rallies, bringing its total holdings to $3.88 billionSaylor's software company also paid off the remaining principal on a $205 million loan from failed crypto-friendly bank Silvergate."
17,2023-03-27,"What Is the Bitcoin Liquid Sidechain and How Does It Work?Bitcoin isn't fast enough, but the Bitcoin Liquid sidechain could be the resolution."
18,2023-04-04,Ethereum jumps to its highest price in 8 months ahead of highly anticipated network upgradeCrypto markets have been on a tear despite murky macro conditions from the Fed's rate hikes and turmoil in the global banking sector.
19,2023-04-11,"Crypto stocks rally after bitcoin breaks above $30,000 to hit a 10-month highShares of crypto-related Coinbase, MicroStrategy, and Marathon Digital look set to build on gains as investors took heart from bitcoin's resurgence."
20,2023-04-13,"'The Dumpster Fire Is Out:' Attorneys for Bankrupt FTX Consider Restarting ExchangeWhile SBF and other former FTX execs face criminal fraud charges, the company's attorney says they've recovered $7.3 billion in assets."
