,date,vader_prediction
0,2022-07-05 17:55:09+00:00,negative
1,2022-07-05 17:47:42+00:00,neutral
2,2022-07-05 17:46:15+00:00,neutral
3,2022-07-05 17:40:05+00:00,neutral
4,2022-07-05 17:38:23+00:00,positive
5,2022-07-05 17:36:03+00:00,positive
6,2022-07-05 14:42:21+00:00,neutral
7,2022-07-05 14:00:21+00:00,positive
8,2022-07-05 13:46:20+00:00,positive
9,2022-07-06 18:02:11+00:00,positive
10,2022-07-06 16:33:04+00:00,neutral
11,2022-07-06 16:32:22+00:00,negative
12,2022-07-06 16:25:57+00:00,neutral
13,2022-07-06 16:25:17+00:00,negative
14,2022-07-06 10:58:50+00:00,neutral
15,2022-07-06 09:33:59+00:00,neutral
16,2022-07-06 04:00:38+00:00,neutral
17,2022-07-06 02:47:42+00:00,positive
18,2022-07-06 02:42:10+00:00,positive
19,2022-07-07 22:01:18+00:00,negative
20,2022-07-07 21:59:24+00:00,negative
21,2022-07-07 21:17:00+00:00,neutral
22,2022-07-07 20:59:12+00:00,neutral
23,2022-07-07 20:58:09+00:00,positive
24,2022-07-07 17:56:16+00:00,positive
25,2022-07-07 17:50:00+00:00,positive
26,2022-07-07 14:27:47+00:00,neutral
27,2022-07-07 14:26:00+00:00,neutral
28,2022-07-07 14:21:58+00:00,neutral
29,2022-07-07 14:19:47+00:00,positive
30,2022-07-07 14:17:45+00:00,neutral
31,2022-07-07 14:09:11+00:00,neutral
32,2022-07-07 14:04:41+00:00,negative
33,2022-07-07 13:43:34+00:00,neutral
34,2022-07-06 21:09:27+00:00,positive
35,2022-07-06 19:26:56+00:00,positive
36,2022-07-06 19:20:02+00:00,negative
37,2022-07-08 00:48:09+00:00,positive
38,2022-07-07 23:29:06+00:00,neutral
39,2022-07-07 22:44:39+00:00,positive
40,2022-07-07 22:26:06+00:00,positive
41,2022-07-07 22:02:54+00:00,positive
42,2022-07-08 15:23:56+00:00,positive
43,2022-07-08 15:09:58+00:00,positive
44,2022-07-08 14:53:33+00:00,negative
45,2022-07-08 14:47:39+00:00,negative
46,2022-07-08 19:11:43+00:00,negative
47,2022-07-08 17:17:34+00:00,neutral
48,2022-07-08 17:06:58+00:00,positive
49,2022-07-08 17:01:50+00:00,neutral
50,2022-07-08 16:56:23+00:00,neutral
51,2022-07-08 15:41:50+00:00,negative
