begins_at,vader_prediction,sentiment
2018-02-25,0.010649999999999993,neutral
2018-02-26,0.05579473684210525,positive
2018-02-27,-0.034722222222222224,neutral
2018-02-28,0.065192,positive
2018-03-01,-0.015678260869565218,neutral
2018-03-02,0.0465047619047619,neutral
2018-03-03,-0.035399999999999994,neutral
2018-03-04,0.055685000000000005,positive
2018-03-05,-0.03365652173913044,neutral
2018-03-06,-0.10091578947368421,negative
2018-03-07,-0.11500588235294117,negative
2018-03-08,0.02447,neutral
2018-03-09,-0.11936190476190475,negative
2018-03-10,-0.1909,negative
2018-03-11,-0.06452916666666667,negative
2018-03-12,-0.03680952380952381,neutral
2018-03-13,0.11746842105263158,positive
2018-03-14,-0.045,neutral
2018-03-15,0.013309523809523808,neutral
2018-03-16,0.07796842105263158,positive
2018-03-17,0.06808333333333333,positive
2018-03-18,-0.07078235294117648,negative
2018-03-19,0.019299999999999998,neutral
2018-03-20,-0.06298888888888889,negative
2018-03-21,-0.048135000000000004,neutral
2018-03-22,0.014910526315789473,neutral
2018-03-23,0.04376470588235294,neutral
2018-03-24,-0.05461111111111111,negative
2018-03-25,0.03706153846153846,neutral
2018-03-26,0.007804999999999995,neutral
2018-03-27,-0.066212,negative
2018-03-28,-0.043564,neutral
2018-03-29,-0.06737499999999999,negative
2018-03-30,-0.11947500000000001,negative
2018-03-31,0.151425,positive
2018-04-01,0.12140714285714285,positive
2018-04-02,0.13016666666666668,positive
2018-04-03,-0.045131818181818176,neutral
2018-04-04,-0.01842857142857143,neutral
2018-04-05,0.013131818181818189,neutral
2018-04-06,-0.09314090909090908,negative
2018-04-07,0.1370909090909091,positive
2018-04-08,0.03476,neutral
2018-04-09,0.08509999999999998,positive
2018-04-10,-0.012600000000000002,neutral
2018-04-11,-0.10184090909090909,negative
2018-04-12,-0.048088461538461545,neutral
2018-04-13,0.01013529411764705,neutral
2018-04-14,-0.07985384615384614,negative
2018-04-15,0.07090909090909091,positive
2018-04-16,-0.03479565217391305,neutral
2018-04-17,0.01891428571428571,neutral
2018-04-18,-0.07698,negative
2018-04-19,-0.02245,neutral
2018-04-20,0.04007777777777778,neutral
2018-04-21,0.01465,neutral
2018-04-22,0.1081142857142857,positive
2018-04-23,-0.046535999999999994,neutral
2018-04-24,-0.12436071428571428,negative
2018-04-25,0.05369230769230769,positive
2018-04-26,0.09111599999999999,positive
2018-04-27,0.13867826086956522,positive
2018-04-28,0.14412666666666665,positive
2018-04-29,0.009968421052631574,neutral
2018-04-30,0.010317391304347829,neutral
2018-05-01,0.06395500000000001,positive
2018-05-02,0.07075454545454546,positive
2018-05-03,0.04379130434782609,neutral
2018-05-04,0.06007142857142857,positive
2018-05-05,0.1323294117647059,positive
2018-05-06,-0.1443125,negative
2018-05-07,0.09925238095238094,positive
2018-05-08,0.13087777777777776,positive
2018-05-09,0.14464210526315788,positive
2018-05-10,0.05001739130434782,positive
2018-05-11,-0.11721428571428572,negative
2018-05-12,0.0030875,neutral
2018-05-13,-0.061799999999999994,negative
2018-05-14,-0.04440500000000001,neutral
2018-05-15,-0.01674545454545454,neutral
2018-05-16,-0.09219545454545454,negative
2018-05-17,0.014214999999999995,neutral
2018-05-18,0.06259523809523809,positive
2018-05-19,0.09830588235294117,positive
2018-05-20,0.15306499999999998,positive
2018-05-21,0.084215,positive
2018-05-22,0.18089545454545455,positive
2018-05-23,0.008405263157894735,neutral
2018-05-24,-0.020604761904761904,neutral
2018-05-25,0.15323000000000003,positive
2018-05-26,0.053180000000000005,positive
2018-05-27,0.13125217391304347,positive
2018-05-28,-0.11752631578947369,negative
2018-05-29,0.07106111111111112,positive
2018-05-30,-0.10958333333333332,negative
2018-05-31,0.049447619047619046,neutral
2018-06-01,0.14040476190476192,positive
2018-06-02,0.12329411764705883,positive
2018-06-03,-0.043546666666666664,neutral
2018-06-04,0.04653333333333333,neutral
2018-06-05,0.02728333333333333,neutral
2018-06-06,0.17523333333333332,positive
2018-06-07,0.06925,positive
2018-06-08,0.09192399999999999,positive
2018-06-09,0.046794444444444444,neutral
2018-06-10,0.14659411764705885,positive
2018-06-11,0.07381428571428572,positive
2018-06-12,0.12444999999999999,positive
2018-06-13,0.10072222222222221,positive
2018-06-14,0.012395833333333333,neutral
2018-06-15,0.07787142857142856,positive
2018-06-16,0.0025764705882352977,neutral
2018-06-17,0.056411764705882356,positive
2018-06-18,0.10131363636363636,positive
2018-06-19,0.14046190476190476,positive
2018-06-20,-0.032504761904761904,neutral
2018-06-21,-0.015847619047619048,neutral
2018-06-22,-0.08814615384615385,negative
2018-06-23,0.06705333333333334,positive
2018-06-24,-0.09015000000000001,negative
2018-06-25,-0.0025700000000000002,neutral
2018-06-26,0.11574500000000001,positive
2018-06-27,-0.027078947368421057,neutral
2018-06-28,0.03265714285714286,neutral
2018-06-29,-0.005223809523809517,neutral
2018-06-30,-0.09975384615384615,negative
2018-07-01,0.20523913043478262,positive
2018-07-02,0.05560416666666667,positive
2018-07-03,-0.0358,neutral
2018-07-04,-0.0032684210526315815,neutral
2018-07-05,0.13655263157894737,positive
2018-07-06,-0.024563636363636367,neutral
2018-07-07,0.07618888888888889,positive
2018-07-08,-0.11873750000000002,negative
2018-07-09,0.07073636363636364,positive
2018-07-10,-0.034835,neutral
2018-07-11,-0.053465000000000006,negative
2018-07-12,0.05749090909090908,positive
2018-07-13,0.0691590909090909,positive
2018-07-14,0.21506874999999998,positive
2018-07-15,-0.06571764705882353,negative
2018-07-16,0.24461052631578947,positive
2018-07-17,0.050704761904761905,positive
2018-07-18,-0.03937619047619047,neutral
2018-07-19,0.08620454545454546,positive
2018-07-20,0.07034583333333333,positive
2018-07-21,0.021095238095238094,neutral
2018-07-22,0.12385882352941176,positive
2018-07-23,0.17346842105263158,positive
2018-07-24,0.11086190476190476,positive
2018-07-25,-0.026332000000000005,neutral
2018-07-26,-0.015404545454545449,neutral
2018-07-27,-0.0890235294117647,negative
2018-07-28,-0.1189125,negative
2018-07-29,0.0020125000000000073,neutral
2018-07-30,0.130505,positive
2018-07-31,0.09416666666666668,positive
2018-08-01,0.027641176470588242,neutral
