begins_at,vader_prediction,sentiment
2018-02-25,0.010649999999999993,neutral
2018-02-26,-0.05151111111111112,negative
2018-02-27,-0.0625,negative
2018-02-28,0.05508,positive
2018-03-01,-0.09465,negative
2018-03-02,0.09367999999999999,positive
2018-03-03,0.013175,neutral
2018-03-04,0.06141666666666667,positive
2018-03-05,-0.11578000000000002,negative
2018-03-06,-0.19965,negative
2018-03-07,-0.1336,negative
2018-03-08,-0.0034800000000000052,neutral
2018-03-09,-0.15671,negative
2018-03-10,-0.1909,negative
2018-03-11,-0.07333999999999999,negative
2018-03-12,-0.17714,negative
2018-03-13,0.12105000000000002,positive
2018-03-14,-0.08441111111111112,negative
2018-03-15,-0.015380000000000005,neutral
2018-03-16,0.16958,positive
2018-03-17,-0.01113333333333334,neutral
2018-03-18,-0.015537500000000003,neutral
2018-03-19,-0.02063,neutral
2018-03-20,-0.14139,negative
2018-03-21,-0.14491,negative
2018-03-22,-0.09332,negative
2018-03-23,-0.06886,negative
2018-03-24,-0.019199999999999995,neutral
2018-03-25,0.010049999999999995,neutral
2018-03-26,0.13045555555555555,positive
2018-03-27,-0.02422,neutral
2018-03-28,-0.049080000000000006,neutral
2018-03-29,-0.14911,negative
2018-03-30,-0.11547142857142859,negative
2018-03-31,0.12040000000000001,positive
2018-04-01,0.14792,positive
2018-04-02,0.11457000000000002,positive
2018-04-03,-0.03634999999999999,neutral
2018-04-04,0.04046,neutral
2018-04-05,0.0013400000000000022,neutral
2018-04-06,-0.12122,negative
2018-04-07,0.18781428571428574,positive
2018-04-08,0.06328571428571429,positive
2018-04-09,0.05452,positive
2018-04-10,-0.06776666666666667,negative
2018-04-11,-0.06871000000000001,negative
2018-04-12,0.014469999999999993,neutral
2018-04-13,0.08115555555555555,positive
2018-04-14,-0.06824,negative
2018-04-15,0.0407,neutral
2018-04-16,-0.20333,negative
2018-04-17,0.08027,positive
2018-04-18,-0.030550000000000004,neutral
2018-04-19,-0.07626,negative
2018-04-20,-0.062039999999999984,negative
2018-04-21,-0.0538625,negative
2018-04-22,0.02965,neutral
2018-04-23,0.023470000000000008,neutral
2018-04-24,-0.32082,negative
2018-04-25,0.07993,positive
2018-04-26,0.0020100000000000005,neutral
2018-04-27,0.15325,positive
2018-04-28,0.12237142857142858,positive
2018-04-29,0.051699999999999996,positive
2018-04-30,-0.0432,neutral
2018-05-01,0.03413333333333334,neutral
2018-05-02,0.07783,positive
2018-05-03,-0.07813,negative
2018-05-04,0.03673,neutral
2018-05-05,0.14996,positive
2018-05-06,-0.09866666666666667,negative
2018-05-07,0.061509999999999995,positive
2018-05-08,0.11882,positive
2018-05-09,0.12326,positive
2018-05-10,0.01715,neutral
2018-05-11,-0.11614,negative
2018-05-12,-0.03071111111111111,neutral
2018-05-13,-0.09864285714285714,negative
2018-05-14,-0.08881000000000001,negative
2018-05-15,-0.08471,negative
2018-05-16,-0.13689,negative
2018-05-17,0.04478,neutral
2018-05-18,-0.020919999999999994,neutral
2018-05-19,0.21064285714285713,positive
2018-05-20,0.12343,positive
2018-05-21,-0.011480000000000008,neutral
2018-05-22,0.24075555555555558,positive
2018-05-23,0.05978999999999999,positive
2018-05-24,-0.07726999999999999,negative
2018-05-25,0.09488000000000002,positive
2018-05-26,0.03991666666666668,neutral
2018-05-27,0.0950111111111111,positive
2018-05-28,-0.14686,negative
2018-05-29,0.05032000000000001,positive
2018-05-30,-0.24108000000000002,negative
2018-05-31,0.05796,positive
2018-06-01,0.17309000000000002,positive
2018-06-02,0.16858571428571428,positive
2018-06-03,-0.07623333333333332,negative
2018-06-04,0.11926999999999999,positive
2018-06-05,-0.013677777777777782,neutral
2018-06-06,0.18653999999999998,positive
2018-06-07,0.02125,neutral
2018-06-08,0.16145555555555557,positive
2018-06-09,0.011411111111111111,neutral
2018-06-10,0.027812500000000004,neutral
2018-06-11,0.037090000000000005,neutral
2018-06-12,0.0457,neutral
2018-06-13,0.12286,positive
