,date,delta_close_price
0,2018-02-25,7.1
1,2018-02-26,2.47
2,2018-02-27,0.83
3,2018-02-28,-1.57
4,2018-03-01,2.67
5,2018-03-02,-0.33
6,2018-03-03,1.23
7,2018-03-04,0.47
8,2018-03-05,-0.9
9,2018-03-06,-3.5
10,2018-03-07,-5.53
11,2018-03-08,-4.73
12,2018-03-09,1.07
13,2018-03-10,-3.87
14,2018-03-11,4.4
15,2018-03-12,-2.6
16,2018-03-13,-0.27
17,2018-03-14,-8.07
18,2018-03-15,0.1
19,2018-03-16,-0.57
20,2018-03-17,-4.83
21,2018-03-18,0.67
22,2018-03-19,2.63
23,2018-03-20,1.3
24,2018-03-21,0.03
25,2018-03-22,-1.93
26,2018-03-23,1.03
27,2018-03-24,-3.03
28,2018-03-25,-0.07
29,2018-03-26,-3.77
30,2018-03-27,-4.33
31,2018-03-28,0.37
32,2018-03-29,-9.37
33,2018-03-30,-0.37
34,2018-03-31,0.47
35,2018-04-01,-1.9
36,2018-04-02,1.6
37,2018-04-03,4.13
38,2018-04-04,-6.33
39,2018-04-05,0.2
40,2018-04-06,-1.83
41,2018-04-07,2.63
42,2018-04-08,1.87
43,2018-04-09,-1.37
44,2018-04-10,1.63
45,2018-04-11,1.7
46,2018-04-12,8.4
47,2018-04-13,-0.03
48,2018-04-14,1.0
49,2018-04-15,3.37
50,2018-04-16,-2.7
51,2018-04-17,-1.23
52,2018-04-18,2.57
53,2018-04-19,2.87
54,2018-04-20,4.9
55,2018-04-21,-0.43
56,2018-04-22,0.4
57,2018-04-23,1.7
58,2018-04-24,5.27
59,2018-04-25,-7.6
60,2018-04-26,3.7
61,2018-04-27,-2.2
62,2018-04-28,3.43
63,2018-04-29,0.53
64,2018-04-30,-1.5
65,2018-05-01,-0.67
66,2018-05-02,1.37
67,2018-05-03,5.63
68,2018-05-04,0.2
69,2018-05-05,1.77
70,2018-05-06,-1.87
71,2018-05-07,-2.57
72,2018-05-08,-0.83
73,2018-05-09,0.6
74,2018-05-10,-2.3
75,2018-05-11,-4.67
