begins_at,vader_prediction,sentiment
2023-03-11,0.0,neutral
2023-03-12,-0.16445,negative
2023-03-13,-0.1273125,negative
2023-03-14,-0.27681428571428573,negative
2023-03-15,-0.005549999999999999,neutral
2023-03-16,-0.4037,negative
2023-03-17,-0.5267,negative
2023-03-20,-0.46316000000000007,negative
2023-03-21,-0.08600000000000002,negative
2023-03-22,0.06858888888888888,positive
2023-03-23,0.038500000000000006,neutral
2023-03-24,-0.5818,negative
2023-03-27,-0.696275,negative
2023-03-28,0.06524999999999999,positive
2023-03-29,0.10158888888888888,positive
2023-03-30,-0.7444000000000001,negative
2023-03-31,0.24816666666666667,positive
2023-04-03,0.4404,positive
2023-04-04,0.23518571428571428,positive
2023-04-05,-0.12187142857142855,negative
2023-04-06,0.17360000000000006,positive
2023-04-07,0.6037666666666667,positive
