begins_at,vader_prediction,sentiment
2023-03-15,-0.062925,negative
2023-03-16,0.0,neutral
2023-03-17,-0.08232857142857142,negative
2023-03-18,0.4696,positive
2023-03-20,-0.1539,negative
2023-03-21,0.13136666666666666,positive
2023-03-22,0.3693625,positive
2023-03-23,0.2587,positive
2023-03-24,0.25634,positive
2023-03-27,-0.1257,negative
2023-03-28,0.0,neutral
2023-03-29,0.15718000000000001,positive
2023-03-30,-0.6555,negative
2023-03-31,0.12910000000000002,positive
2023-04-02,-0.1779,negative
2023-04-03,-0.18746666666666667,negative
2023-04-04,0.27462,positive
2023-04-05,0.01914285714285715,neutral
2023-04-06,0.42900000000000005,positive
2023-04-07,-0.0012999999999999678,neutral
2023-04-08,0.3119,positive
2023-04-09,0.4019,positive
2023-04-10,0.18205,positive
2023-04-11,0.29484444444444446,positive
2023-04-12,0.3027,positive
2023-04-13,-0.19695999999999997,negative
