Date (Doge Analysis F.Csv),Sentiment (Doge Analysis F.Csv),Close Price,Delta Close Price,F1,Vader Prediction (Doge Analysis F.Csv)
1/2/2021,positive,0.010714,-7.4,0,0.18332
1/3/2021,neutral,0.009979,-7.4,1,-0.0362
1/4/2021,neutral,0.009798,-1.8,2,0.011
1/5/2021,positive,0.010004,2.1,3,0.1836625
1/6/2021,positive,0.010501,4.7,4,0.2001375
1/7/2021,neutral,0.009788,-7.3,5,0.020555556
1/8/2021,positive,0.009787,0,6,0.050066667
1/9/2021,positive,0.010232,4.3,7,0.5106
1/10/2021,positive,0.009826,-4.1,8,0.130125
1/11/2021,neutral,0.008805,-11.6,9,0.021825
1/12/2021,positive,0.008063,-9.2,10,0.062744444
1/13/2021,positive,0.008742,7.8,11,0.059533333
1/14/2021,positive,0.00942,7.2,12,0.11177
1/15/2021,positive,0.009379,-0.4,13,0.1839375
1/16/2021,neutral,0.009273,-1.1,14,0
1/17/2021,positive,0.009133,-1.5,15,0.286875
1/18/2021,positive,0.009173,0.4,16,0.2029125
1/19/2021,positive,0.009068,-1.2,17,0.12044
1/20/2021,positive,0.00905,-0.2,18,0.188522222
1/21/2021,neutral,0.008142,-11.2,19,-0.045533333
1/22/2021,negative,0.008541,4.7,20,-0.09938
1/23/2021,negative,0.008607,0.8,21,-0.056025
1/24/2021,positive,0.008718,1.3,22,0.3399
1/25/2021,neutral,0.008365,-4.2,23,0.011775
1/26/2021,neutral,0.008222,-1.7,24,0.02858
1/27/2021,negative,0.007442,-10.5,25,-0.118371429
1/28/2021,neutral,0.038939,80.9,26,0.044655556
1/29/2021,neutral,0.045827,15,27,-0.01159
1/30/2021,negative,0.028169,-62.7,28,-0.1902
1/31/2021,negative,0.036105,22,29,-0.104242857
2/1/2021,positive,0.034823,-3.7,30,0.16454
2/2/2021,negative,0.031314,-11.2,31,-0.05046
2/3/2021,neutral,0.037233,15.9,32,0.04778
2/4/2021,neutral,0.05339,30.3,33,-0.032422222
2/5/2021,positive,0.047038,-13.5,34,0.136377778
2/6/2021,neutral,0.057451,18.1,35,0
2/7/2021,neutral,0.077372,25.7,36,-0.003120000
2/8/2021,positive,0.078866,1.9,37,0.16772
2/9/2021,neutral,0.070328,-12.1,38,-0.01334
2/10/2021,neutral,0.072757,3.3,39,-0.00694
