Coin Name,Crypto Filter,Date,Close**,High,Low,Market Cap,Open*,Volume
Binance - BNB,False,4/7/2023,310.7,312.87,309.98,49055397082,312.45,478098163
Binance - BNB,False,4/6/2023,312.45,314.59,311.06,49332583159,314.08,530706217
Binance - BNB,False,4/5/2023,314.06,316.31,310.51,49586621148,311,592856922
Binance - BNB,False,4/4/2023,310.99,312.09,308.46,49102236623,308.59,575672802
Binance - BNB,False,4/3/2023,308.56,314.03,300.51,48718247160,313.94,701865645
Binance - BNB,False,4/2/2023,313.93,316.19,311.54,49565588033,314.94,442429679
Binance - BNB,False,4/1/2023,315.22,318.43,313.56,49769112959,317.06,463135728
Binance - BNB,False,3/31/2023,317.04,319.63,313.79,50056964246,316.63,419430009
Binance - BNB,False,3/30/2023,316.57,317.8,311,49982441631,313.86,594180917
Binance - BNB,False,3/29/2023,313.84,319.53,312.79,49552135790,313.23,482942200
Binance - BNB,False,3/28/2023,313.26,314.99,307.37,49460441504,310.95,478328374
Binance - BNB,False,3/27/2023,310.95,329.33,306.45,49095551997,328.9,656817420
Binance - BNB,False,3/26/2023,328.89,329.57,322.1,51927975468,322.64,363216136
Binance - BNB,False,3/25/2023,322.67,325,319.91,50946789304,322.32,439062620
Binance - BNB,False,3/24/2023,322.36,330.17,317.78,50897314960,329.81,468651735
Binance - BNB,False,3/23/2023,329.84,331.97,319.89,52078037493,321.86,547390925
Binance - BNB,False,3/22/2023,321.89,339.69,317.6,50822991270,335.29,1280612242
Binance - BNB,False,3/21/2023,335.31,339.55,328.99,52942208089,333.02,638610697
Binance - BNB,False,3/20/2023,332.92,339.8,332.85,52565516823,337,682276624
Binance - BNB,False,3/19/2023,336.98,341.82,331.53,53205871425,331.53,705888292
Binance - BNB,False,3/18/2023,331.52,346.45,330.79,52344805502,339.04,828471428
Binance - BNB,False,3/17/2023,339.08,340.27,327.14,53538037406,329.89,934568148
Binance - BNB,False,3/16/2023,329.86,333.01,304.43,52082308342,307.21,1337194824
Binance - BNB,False,3/15/2023,307.12,313.92,301.69,48492559791,309.45,596861029
Binance - BNB,False,3/14/2023,309.37,319.84,304.01,48847234567,308.94,866173920
Binance - BNB,False,3/13/2023,308.91,313.75,287.56,48774894447,289.74,1122664621
Binance - BNB,False,3/12/2023,289.68,289.71,276.64,45737678820,277.94,483074620
Binance - BNB,False,3/11/2023,277.96,281.64,272.28,43888118188,277.43,523623578
Binance - BNB,False,3/10/2023,277.42,278.1,265.71,43802636228,277.32,558776711
Binance - BNB,False,3/9/2023,277.3,291.37,272.73,43783204223,286.95,505668979
Binance - BNB,False,3/8/2023,286.87,293.64,285.59,45294444955,289.33,436665040
Binance - BNB,False,3/7/2023,289.34,290.22,284.37,45685558981,288,373176525
Binance - BNB,False,3/6/2023,288.05,289.72,283.95,45482133750,288.7,374160712
Binance - BNB,False,3/5/2023,288.7,292.46,287.88,45583995084,289.52,287599378
Binance - BNB,False,3/4/2023,289.5,291.33,286.62,45711023161,290.29,289197235
Binance - BNB,False,3/3/2023,290.28,300.09,287.98,45834074108,299.98,450262903
Binance - BNB,False,3/2/2023,299.95,303.55,296.52,47359929587,302.92,370516889
Binance - BNB,False,3/1/2023,302.91,306.19,301.1,47827580738,301.51,377974810
Binance - BNB,False,2/28/2023,301.47,305.63,300.57,47601444433,304.85,337673265
Binance - BNB,False,2/27/2023,304.86,309.33,300.94,48135374451,308.99,404806423
Binance - BNB,False,2/26/2023,309,309.59,300.97,48789334459,302.37,312320211
Binance - BNB,False,2/25/2023,302.38,303.03,297.22,47745317304,302.1,310503640
Binance - BNB,False,2/24/2023,302.05,311.8,300.06,47693139026,308.46,479926281
Binance - BNB,False,2/23/2023,308.53,314.89,306.18,48716410747,312.81,472852406
Binance - BNB,False,2/22/2023,312.78,312.81,304.22,49387101205,311.48,549179249
Binance - BNB,False,2/21/2023,311.47,317,309.96,49180469394,315.4,579359973
Binance - BNB,False,2/20/2023,315.38,319.3,309.43,49797193703,312.03,676396150
Binance - BNB,False,2/19/2023,311.94,318.43,311.31,49253849848,316.62,522437732
Binance - BNB,False,2/18/2023,316.68,318.68,313.3,50003435480,313.39,467884011
Binance - BNB,False,2/17/2023,313.38,316.41,303.55,49481687296,304.74,701575686
Binance - BNB,False,2/16/2023,304.76,326.63,304.5,48121587865,317.15,1036335164
Binance - BNB,False,2/15/2023,317.17,317.39,294.38,50080477853,296.14,667519216
Binance - BNB,False,2/14/2023,296.12,301.13,290.17,46756968313,294.47,662196432
Binance - BNB,False,2/13/2023,294.48,315.12,283.7,46497281012,312.9,1322505522
Binance - BNB,False,2/12/2023,312.93,320.23,306.52,49411264710,310.61,520994815
Binance - BNB,False,2/11/2023,310.62,311.15,305.45,49046008530,305.98,348569462
Binance - BNB,False,2/10/2023,305.95,309.06,303.02,48309960943,306.01,492880078
Binance - BNB,False,2/9/2023,305.96,329.01,303.36,48311022691,328.17,778492045
Binance - BNB,False,2/8/2023,328.09,334.73,324.49,51805135267,333.22,515127902
Binance - BNB,False,2/7/2023,333.23,333.53,324.21,52616693260,324.56,521804212
Binance - BNB,False,2/6/2023,324.63,330.96,321.95,51258714745,327.86,521894604
Binance - BNB,False,2/5/2023,327.87,337.32,324.88,51770723359,330.56,662969265
Binance - BNB,False,2/4/2023,330.62,333.87,327.74,52204662734,332.25,440935963
Binance - BNB,False,2/3/2023,332.27,334.55,318.9,52465524136,323.29,861598551
Binance - BNB,False,2/2/2023,323.35,333.5,316.71,51057292061,317.35,909077028
Binance - BNB,False,2/1/2023,317.47,319.21,306.15,50129351591,312.28,616638893
Binance - BNB,False,1/31/2023,312.36,313.82,305.68,49322298701,307.1,487472184
Binance - BNB,False,1/30/2023,307.07,320.25,303.58,48486730039,317.38,630938594
Binance - BNB,False,1/29/2023,317.34,320.12,305.2,50108027167,306.24,664644693
Binance - BNB,False,1/28/2023,306.24,313.08,304.09,48356662482,308.16,434715822
Binance - BNB,False,1/27/2023,308.12,309.89,300.32,48653379654,304.87,484897937
Binance - BNB,False,1/26/2023,304.87,309.26,302.39,48139219171,307.1,540954388
Binance - BNB,False,1/25/2023,307.31,313.2,294.71,48524730886,300.64,667706772
Binance - BNB,False,1/24/2023,300.61,322.75,299.7,47467581558,305.39,887528741
Binance - BNB,False,1/23/2023,305.5,307.43,302.33,48240055474,303.02,520678637
Binance - BNB,False,1/22/2023,303.05,310.6,299.1,47852041126,299.24,571771274
Binance - BNB,False,1/21/2023,299.26,309.62,299.06,47254381543,305.02,755028964
Binance - BNB,False,1/20/2023,304.97,305.02,287.23,48156400534,294.85,669836014
Binance - BNB,False,1/19/2023,294.85,295.12,286.87,46558310526,286.89,431382130
Binance - BNB,False,1/18/2023,286.99,304.89,282.63,45317067482,299.83,844268123
Binance - BNB,False,1/17/2023,299.82,304.79,296.97,47343587830,299.06,529752305
Binance - BNB,False,1/16/2023,299,307.6,294.18,47828458630,302.08,602126315
Binance - BNB,False,1/15/2023,302.07,305.76,292.92,48319824359,305.33,562889882
Binance - BNB,False,1/14/2023,305.24,314,293.6,48827039541,293.72,1087358891
Binance - BNB,False,1/13/2023,293.73,295.27,285.19,46986237688,287.81,561853825
Binance - BNB,False,1/12/2023,287.81,287.95,279.74,46039203570,284.93,655903255
Binance - BNB,False,1/11/2023,285.05,285.17,274.53,45596828392,277.29,466458216
Binance - BNB,False,1/10/2023,277.29,278.27,271.15,44356071739,272.66,470259383
Binance - BNB,False,1/9/2023,272.7,283.03,271.9,43622192228,274.44,783671054
Binance - BNB,False,1/8/2023,274.39,274.39,260.52,43891548404,261.25,491734030
Binance - BNB,False,1/7/2023,261.28,262.96,259.59,41795720412,259.85,327712514
Binance - BNB,False,1/6/2023,259.87,260.22,255.07,41569303200,256.45,417893264
