,Date,Day,Month,Quarter,CSI,gallup_banks,gallup_bigbiz,gallup_police,gallup_pres,CPI,GDP,vader_avg_last_50,vader_avg_last_15,vader_avg_last_5,vader_avg_last_1
360,2014-11-06,3,11,4.0,89.6,26.7013698630137,21.0,52.64931506849315,30.4027397260274,1.2166666666666668,2.220609589041096,,,,
361,2014-11-07,4,11,4.0,89.75999999999999,26.706849315068492,21.0,52.64657534246575,30.413698630136984,1.2,2.2218312328767125,,,,
362,2014-11-08,5,11,4.0,89.92,26.71232876712329,21.0,52.64383561643836,30.424657534246574,1.1833333333333333,2.2230528767123285,,,,
363,2014-11-09,6,11,4.0,90.08,26.71780821917808,21.0,52.64109589041096,30.435616438356163,1.1666666666666667,2.224274520547945,,,,
364,2014-11-10,0,11,4.0,90.24,26.723287671232878,21.0,52.63835616438356,30.446575342465753,1.1500000000000001,2.2254961643835616,,,,
365,2014-11-11,1,11,4.0,90.39999999999999,26.72876712328767,21.0,52.635616438356166,30.457534246575342,1.1333333333333333,2.226717808219178,,,,
366,2014-11-12,2,11,4.0,90.56,26.734246575342464,21.0,52.632876712328766,30.46849315068493,1.1166666666666667,2.2279394520547946,,,,
367,2014-11-13,3,11,4.0,90.72,26.73972602739726,21.0,52.63013698630137,30.47945205479452,1.1,2.2291610958904107,,,,
368,2014-11-14,4,11,4.0,90.88,26.745205479452054,21.0,52.62739726027397,30.49041095890411,1.0833333333333335,2.230382739726027,,,,
369,2014-11-15,5,11,4.0,91.03999999999999,26.75068493150685,21.0,52.62465753424657,30.5013698630137,1.0666666666666667,2.2316043835616437,,,,
370,2014-11-16,6,11,4.0,91.19999999999999,26.756164383561643,21.0,52.62191780821918,30.512328767123286,1.05,2.23282602739726,,,,
371,2014-11-17,0,11,4.0,91.36,26.76164383561644,21.0,52.61917808219178,30.523287671232875,1.0333333333333334,2.2340476712328767,,,,
372,2014-11-18,1,11,4.0,91.52,26.767123287671232,21.0,52.61643835616438,30.534246575342465,1.0166666666666666,2.235269315068493,,,,
373,2014-11-19,2,11,4.0,91.67999999999999,26.77260273972603,21.0,52.61369863013699,30.545205479452054,1.0,2.2364909589041093,,,,
374,2014-11-20,3,11,4.0,91.83999999999999,26.778082191780822,21.0,52.61095890410959,30.556164383561644,0.9833333333333334,2.237712602739726,,,,
375,2014-11-21,4,11,4.0,92.0,26.783561643835615,21.0,52.608219178082194,30.567123287671233,0.9666666666666668,2.2389342465753423,,,,
376,2014-11-22,5,11,4.0,92.16,26.78904109589041,21.0,52.605479452054794,30.578082191780823,0.9500000000000001,2.240155890410959,,,,
377,2014-11-23,6,11,4.0,92.32,26.794520547945204,21.0,52.602739726027394,30.589041095890412,0.9333333333333333,2.2413775342465754,,,,
378,2014-11-24,0,11,4.0,92.47999999999999,26.8,21.0,52.6,30.6,0.9166666666666667,2.242599178082192,,,,
379,2014-11-25,1,11,4.0,92.64,26.805479452054794,21.0,52.5972602739726,30.610958904109587,0.9,2.243820821917808,,,,
380,2014-11-26,2,11,4.0,92.8,26.81095890410959,21.0,52.59452054794521,30.621917808219177,0.8833333333333333,2.2450424657534245,,,,
381,2014-11-27,3,11,4.0,92.96,26.816438356164383,21.0,52.59178082191781,30.632876712328766,0.8666666666666667,2.246264109589041,,,,
382,2014-11-28,4,11,4.0,93.11999999999999,26.82191780821918,21.0,52.58904109589041,30.643835616438356,0.8500000000000001,2.2474857534246575,,,,
383,2014-11-29,5,11,4.0,93.28,26.827397260273973,21.0,52.586301369863016,30.654794520547945,0.8333333333333334,2.248707397260274,,,,
384,2014-11-30,6,11,4.0,93.44,26.832876712328765,21.0,52.583561643835615,30.665753424657535,0.8166666666666667,2.24992904109589,,,,
385,2014-12-01,0,12,4.0,93.6,26.838356164383562,21.0,52.58082191780822,30.676712328767124,0.8,2.2511506849315066,,,,
386,2014-12-02,1,12,4.0,93.74516129032257,26.843835616438355,21.0,52.57808219178082,30.687671232876713,0.7709677419354839,2.252372328767123,,,,
387,2014-12-03,2,12,4.0,93.89032258064516,26.84931506849315,21.0,52.57534246575342,30.698630136986303,0.7419354838709677,2.2535939726027396,,,,
388,2014-12-04,3,12,4.0,94.03548387096774,26.854794520547944,21.0,52.57260273972603,30.70958904109589,0.7129032258064516,2.254815616438356,,,,
389,2014-12-05,4,12,4.0,94.18064516129031,26.86027397260274,21.0,52.56986301369863,30.720547945205478,0.6838709677419356,2.2560372602739727,,,,
390,2014-12-06,5,12,4.0,94.32580645161289,26.865753424657534,21.0,52.56712328767123,30.731506849315068,0.6548387096774194,2.2572589041095887,,,,
391,2014-12-07,6,12,4.0,94.47096774193548,26.87123287671233,21.0,52.56438356164384,30.742465753424657,0.6258064516129033,2.2584805479452053,,,,
392,2014-12-08,0,12,4.0,94.61612903225806,26.876712328767123,21.0,52.56164383561644,30.753424657534246,0.5967741935483871,2.2597021917808218,,,,
393,2014-12-09,1,12,4.0,94.76129032258063,26.882191780821916,21.0,52.558904109589044,30.764383561643836,0.567741935483871,2.2609238356164383,,,,
394,2014-12-10,2,12,4.0,94.90645161290323,26.887671232876713,21.0,52.556164383561644,30.775342465753425,0.5387096774193549,2.262145479452055,,,,
395,2014-12-11,3,12,4.0,95.0516129032258,26.893150684931506,21.0,52.553424657534244,30.786301369863015,0.5096774193548388,2.2633671232876713,,,,
396,2014-12-12,4,12,4.0,95.19677419354838,26.898630136986302,21.0,52.55068493150685,30.797260273972604,0.4806451612903226,2.2645887671232874,,,,
397,2014-12-13,5,12,4.0,95.34193548387097,26.904109589041095,21.0,52.54794520547945,30.80821917808219,0.4516129032258065,2.265810410958904,,,,
398,2014-12-14,6,12,4.0,95.48709677419355,26.90958904109589,21.0,52.54520547945206,30.81917808219178,0.42258064516129035,2.2670320547945204,,,,
399,2014-12-15,0,12,4.0,95.63225806451612,26.915068493150685,21.0,52.54246575342466,30.83013698630137,0.3935483870967742,2.268253698630137,,,,
400,2014-12-16,1,12,4.0,95.7774193548387,26.92054794520548,21.0,52.53972602739726,30.84109589041096,0.3645161290322581,2.2694753424657534,,,,
401,2014-12-17,2,12,4.0,95.92258064516129,26.926027397260274,21.0,52.536986301369865,30.852054794520548,0.33548387096774196,2.2706969863013695,,,,
402,2014-12-18,3,12,4.0,96.06774193548387,26.931506849315067,21.0,52.534246575342465,30.863013698630137,0.3064516129032258,2.271918630136986,,,,
403,2014-12-19,4,12,4.0,96.21290322580644,26.936986301369863,21.0,52.53150684931507,30.873972602739727,0.2774193548387097,2.2731402739726025,,,,
404,2014-12-20,5,12,4.0,96.35806451612903,26.942465753424656,21.0,52.52876712328767,30.884931506849316,0.24838709677419357,2.274361917808219,,,,
405,2014-12-21,6,12,4.0,96.50322580645161,26.947945205479453,21.0,52.52602739726027,30.895890410958906,0.21935483870967742,2.2755835616438356,,,,
406,2014-12-22,0,12,4.0,96.64838709677419,26.953424657534246,21.0,52.52328767123288,30.90684931506849,0.19032258064516128,2.276805205479452,,,,
407,2014-12-23,1,12,4.0,96.79354838709676,26.958904109589042,21.0,52.52054794520548,30.91780821917808,0.16129032258064513,2.2780268493150686,,,,
408,2014-12-24,2,12,4.0,96.93870967741935,26.964383561643835,21.0,52.51780821917808,30.92876712328767,0.1322580645161291,2.2792484931506847,,,,
409,2014-12-25,3,12,4.0,97.08387096774193,26.96986301369863,21.0,52.515068493150686,30.93972602739726,0.10322580645161294,2.280470136986301,,,,
410,2014-12-26,4,12,4.0,97.2290322580645,26.975342465753425,21.0,52.512328767123286,30.95068493150685,0.0741935483870968,2.2816917808219177,,,,
411,2014-12-27,5,12,4.0,97.3741935483871,26.980821917808218,21.0,52.50958904109589,30.96164383561644,0.04516129032258065,2.282913424657534,,,,
412,2014-12-28,6,12,4.0,97.51935483870967,26.986301369863014,21.0,52.50684931506849,30.972602739726028,0.016129032258064502,2.2841350684931507,,,,
413,2014-12-29,0,12,4.0,97.66451612903225,26.991780821917807,21.0,52.50410958904109,30.983561643835618,-0.012903225806451646,2.285356712328767,,,,
414,2014-12-30,1,12,4.0,97.80967741935483,26.997260273972604,21.0,52.5013698630137,30.994520547945207,-0.04193548387096768,2.2865783561643833,,,,
415,2014-12-31,2,12,4.0,97.95483870967742,27.002739726027396,21.0,52.4986301369863,31.005479452054793,-0.07096774193548383,2.2878,,,,
416,2015-01-01,3,1,1.0,98.1,27.008219178082193,21.0,52.49589041095891,31.016438356164382,-0.1,2.288946849315068,,,,
417,2015-01-02,4,1,1.0,98.01290322580644,27.013698630136986,21.0,52.49315068493151,31.027397260273972,-0.09677419354838711,2.290093698630137,,,,
418,2015-01-03,5,1,1.0,97.9258064516129,27.019178082191782,21.0,52.49041095890411,31.03835616438356,-0.0935483870967742,2.2912405479452054,,,,
419,2015-01-04,6,1,1.0,97.83870967741935,27.024657534246575,21.0,52.487671232876714,31.04931506849315,-0.0903225806451613,2.2923873972602737,,,,
420,2015-01-05,0,1,1.0,97.7516129032258,27.03013698630137,21.0,52.484931506849314,31.06027397260274,-0.08709677419354839,2.293534246575342,,,,
421,2015-01-06,1,1,1.0,97.66451612903225,27.035616438356165,21.0,52.48219178082192,31.07123287671233,-0.08387096774193549,2.294681095890411,,,,
